facdomain, facdomain_desc, facdomain_color, facdomain_icon,facdomain_order, facgroup, facgroup_desc, facsubgrp, facsubgrp_desc,servarea
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts",Recreation and Waterfront Sites,"Playgrounds, waterfront facilities, and recreation fields and courts",Local
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts","Streetscapes, Plazas, and Malls","Pedestrian plazas, malls, triangle plazas, and parkways",Local
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Cultural Institutions,Institutions licensed or funded by the NYC Dept. of Cultural Affairs,Historical Societies,Historical societies,Regional
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Cultural Institutions,Institutions licensed or funded by the NYC Dept. of Cultural Affairs,Museums,Publicly and privately operated museums,Regional
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Cultural Institutions,Institutions licensed or funded by the NYC Dept. of Cultural Affairs,Other Cultural Institutions,"Zoos, botanical gardens, performing arts centers, and multi-disciplinary art centers",Regional
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Libraries,"Libraries operated by New York Public Libraries, Queens Public Libraries, and Brooklyn Public Libraries and academic institutions",Academic and Special Libraries,Libraries operated by academic institutions or other specialized organizations,Regional
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Libraries,"Libraries operated by New York Public Libraries, Queens Public Libraries, and Brooklyn Public Libraries and academic institutions",Public Libraries,All public libaries,Local
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Emergency Services,Services provided by Fire Dept. of New York,Fire Services,Firehouses,Local
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Emergency Services,Services provided by Fire Dept. of New York,Other Emergency Services,Ambulance and Emergency Medical Stations,Local
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Justice and Corrections,"Courts and correctional facilities operated by NYC. Dept. of Correction, NYS Unified Court System, NYS Dept. of Corrections and Community Supervision, US Courts, and Federal Bureau of Prisons",Courthouses and Judicial,"Courthouses, clerk offices, and court librarians",Regional
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Justice and Corrections,"Courts and correctional facilities operated by NYC. Dept. of Correction, NYS Unified Court System, NYS Dept. of Corrections and Community Supervision, US Courts, and Federal Bureau of Prisons",Detention and Correctional,Correctional and dentention centers,Regional
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Public Safety,Services provided by New York Police Dept. and New York Housing Authority Police,Other Public Safety,Other public safety related support centers,Local
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Public Safety,Services provided by New York Police Dept. and New York Housing Authority Police,Police Services,NYPD and NYCHA police stations,Local
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Public Safety,Services provided by New York Police Dept. and New York Housing Authority Police,School-Based Safety Program,Public safety program on a school campus,Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",Chemical Dependency,"Monitored support, inpatient, outpatient, and crisis services",Regional
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",Health Promotion and Disease Prevention,Programs focused on improving health through education and disease prevention,Regional
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",Hospitals and Clinics,"Urgent care hospitals, diagnostic and treatment centers, and school-based health facilities",Regional
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",Mental Health,"Inpatient, outpatient, and emergency mental health services",Regional
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",Other Health Care,"Rehab, respite servies, vaccination services, AIDS counseling, and home health centers",Regional
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",Residential Health Care,"Nursing homes, hospice care, and supportive housing",Regional
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Community Centers and Community School Programs,Community centers that provide multiple social services at one site,Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Financial Assistance and Social Services,"SNAP, Child Support, and Medicaid Centers operated by NYC Human Resources Administration",Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Legal and Intervention Services,"Early intervention, criminal defense, and mediation services",Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Non-residential Housing and Homeless Services,Non-residential homelessness prevention services,Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Programs for People with Disabilities,"Specialized child care, caregiver support, and recreational services",Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Senior Services,"Neighborhood senior centers, meal delivery programs, and other services for seniors",Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Shelters and Transitional Housing,"NOTE: These records will be incorporated soon, once the data is finished being assembled for inclusion in the database.",Regional
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Soup Kitchens and Food Pantries,Soup kitchens and food pantries,Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",Workforce Development,Workforce 1 Centers and other vocational services for adults,Local
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",,,,Human Services,,Public or Affordable Housing,,Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Material Supplies and Markets,Sites operated or overseen by Dept. of Information Technology and Telecommunications and other City telecommunications services,Material Supplies,Asphalt plants and other material processing facilities,Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Material Supplies and Markets,Sites operated or overseen by Dept. of Information Technology and Telecommunications and other City telecommunications services,Wholesale Markets,Wholesale food and commercial markets,Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Solid Waste,"Sites overseen and operated by NYC Dept. of Sanitation, NYC Business Integrity Commission, and NYS Dept. of Conservation",Solid Waste Processing,"Material recovery, composting, landfill gas recovery, and scrap metal processing facilities",Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Solid Waste,"Sites overseen and operated by NYC Dept. of Sanitation, NYC Business Integrity Commission, and NYS Dept. of Conservation",Solid Waste Transfer and Carting,Waste carter sites and transfer stations,Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Telecommunications,Sites operated or overseen by Dept. of Information Technology and Telecommunications and other City telecommunications services,Telecommunications,Antennas and other telecommunications sites,Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",Airports and Heliports,"Publicly and privately operated airports, heliports, and seaplane bases",Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",Bus Depots and Terminals,"School bus depots, MTA bus depots, and Port Authority bus terminals",Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",Other Transportation,Uncategorized transportation related sites,Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",Parking Lots and Garages,Publicly and commerially operated parking lots and garages,Local
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",Ports and Ferry Landings,"Ferry landings, cruise terminals, and ports",Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",Rail Yards and Maintenance,Rail yards and maintenance facilities,Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Water and Wastewater,Sites overseen and operated by NYC Dept. of Environmental Protection,Wastewater and Pollution Control,Wastewater treatment plants and other sites related to wastewater conveyance and pollution control,Regional
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Water and Wastewater,Sites overseen and operated by NYC Dept. of Environmental Protection,Water Supply,Sites related to water supply,Regional
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"City Agency Parking, Maintenance, and Storage",City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services,City Agency Parking,City agency parking lots,Local
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"City Agency Parking, Maintenance, and Storage",City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services,Custodial,City agency custodial sites,Local
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"City Agency Parking, Maintenance, and Storage",City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services,Maintenance and Garages,City agency vehicle maintenance sites,Regional
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"City Agency Parking, Maintenance, and Storage",City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services,Storage,City agency storage sites,Regional
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"Offices, Training, and Testing",All City owned or leased offices overseen by Dept. of Citywide Administrative Services,City Government Offices,Offices used by City agencies,Regional
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"Offices, Training, and Testing",All City owned or leased offices overseen by Dept. of Citywide Administrative Services,Training and Testing,Training and testing sites used by City agencies,Regional
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD7,bar-chart,7,Other Property,City owned or leased property without a categorized use overseen by Dept. of Citywide Administrative Services,Miscellaneous Use,Property without a categorized use,Regional
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD8,bar-chart,7,Other Property,City owned or leased property without a categorized use overseen by Dept. of Citywide Administrative Services,Properties Leased or Licensed to Non-public Entities,Properties Leased or Licensed to Non-public Entities,Regional
